NAME,MSINI,A,PER,ECC,OM,MASS,RSTAR,DEPTH,BMV,V,VURL,VREF,J,H,KS
,mjupiter,au,day,,deg,mjupiter,rsun,,,,,,,,
Kepler-107 d,0,0.0780099,7.958203,,90,0,1.411,,,,,,11.392,11.114,11.06
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,7.69234,1.31,0.0102,0.46,9.75,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,8.869,8.65,8.621
Kepler-50 b,0,0.0825598,7.8125124,,,0,1.88,,0.48,10.54,,,9.518,9.25,9.197
NN Ser d,0.642621,3.70596,2605,0.05,152,0.642621,,,-0.672001,16.672,,,16.91,16.25,16.17
Kepler-20 b,0.0266149,0.0453704,3.6961219,0,79.2157,0.0266646,0.944,0.000344102,0.9,12.51,,,11.252,10.91,10.871
HAT-P-27 b,0.615135,0.0399488,3.039577,0,90,0.617485,0.87,0.0143,0.99,12.2,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Anderson 2011,10.626,10.249,10.109
Kepler-181 b,0,0.0419466,3.137873,,90,0,0.749,,,,,,13.364,12.948,12.88
HD 116029 b,1.9075,1.64869,670,0,40,1.9075,5.04235,,1.009,8.04,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,6.144,5.65,5.534
Kepler-207 b,0,0.0269045,1.611865,,90,0,1.588,,,,,,12.1,11.841,11.805
HD 219828 b,0.0622185,0.0515012,3.8334999,0,0,0.0622185,1.4682,,0.654,8.04,,,6.871,6.613,6.53
Kepler-11 c,0.04247,0.106909,13.0241,0.0256125,51.3402,0.00912437,1.065,0.0007508,,,,,12.548,12.237,12.237
HD 1237 b,3.3748,0.494668,133.71001,0.511,290.7,3.3748,0.858011,,0.749,6.59,,,5.365,4.99,4.858
WASP-21 b,0.300201,0.0521087,4.322482,0,90,0.300272,1.06,0.01082,0.54,11.58,,,10.35,10.085,9.982
Kepler-284 c,0,0.219317,37.514456,,90,0,0.814,,,,,,14.56,14.15,14.08
Kepler-186 c,0,0.0574114,7.267302,0.03,270,0,0.472,,,,,,12.473,11.82,11.605
HD 4308 b,0.0477376,0.119192,15.56,0,359,0.0477376,0.82259,,0.655,6.55,,,5.365,5.1,4.945
Kepler-239 b,0,0.101225,11.763051,,90,0,0.763,,,,,,13.703,13.215,13.13
Kepler-174 b,0,0.113583,13.98179,,90,0,0.622,,,,,,12.791,12.293,12.184
Kepler-224 d,0,0.0988375,11.349393,,90,0,0.676,,,,,,14.212,13.722,13.7
Kepler-389 c,0,0.116434,14.51143,,90,0,0.792,,,,,,14.417,13.903,13.896
Kepler-254 c,0,0.104915,12.412183,,90,0,0.91,,,,,,14.68,14.27,14.25
Kepler-236 c,0,0.162691,23.968127,,90,0,0.51,,,,,,13.224,12.537,12.312
WASP-25 b,0.578118,0.0473714,3.764825,0,90,0.57847,0.92,0.0187,0.400001,11.88,,,10.596,10.268,10.174
Kepler-186 d,0,0.0860831,13.342996,0.03,270,0,0.472,,,,,,12.473,11.82,11.605
HD 24040 b,4.02189,4.92406,3668,0.04,154,4.02189,1.15444,,0.653,7.5,,,6.278,6.038,5.969
Kepler-359 c,0,0.292189,57.68802,,90,0,1.086,,,,,,14.736,14.43,14.487
Kepler-211 c,0,0.0649112,6.04045,,90,0,0.816,,,,,,11.927,11.488,11.447
Kepler-294 c,0,0.0690438,6.6264,,90,0,0.976,,,,,,14.57,14.26,14.17
Kepler-263 c,0,0.256083,47.332773,,90,0,0.785,,,,,,13.99,13.53,13.55
Kepler-349 b,0,0.0641159,5.929778,,90,0,0.927,,,,,,13.584,13.283,13.18
HD 200964 b,1.94873,1.64347,613.8,0.04,288,1.94873,3.80029,,0.88,6.64,,,4.802,4.459,4.286
HD 147018 b,2.12711,0.238855,44.236,0.4686,335.97,2.12711,1.05268,,0.763,8.3,,,6.963,6.64,6.571
HD 218566 b,0.212872,0.687282,225.7,0.3,36,0.212872,0.590728,,1.013,8.628,,,6.826,6.344,6.223
HD 45364 b,0.187149,0.68156,226.93,0.1684,162.58,0.187149,1.02464,,0.72,8.08,,,6.748,6.38,6.316
